h3,total_exposure,exposure_bin
8929a565037ffff,287,High (50+)
89283082dd7ffff,287,High (50+)
8929a0a25b7ffff,287,High (50+)
8929a0d6e27ffff,287,High (50+)
8929a102033ffff,287,High (50+)
892830959dbffff,286,High (50+)
89283446267ffff,286,High (50+)
89283461d53ffff,286,High (50+)
89283095d43ffff,286,High (50+)
89283446c7bffff,286,High (50+)
89283460babffff,286,High (50+)
8929a56736bffff,286,High (50+)
8929a0b231bffff,286,High (50+)
8929a0869abffff,286,High (50+)
8929a1990d7ffff,286,High (50+)
8929a565893ffff,285,High (50+)
89283082c0bffff,285,High (50+)
8929a54dccfffff,285,High (50+)
