fips,lc_type,bldgtype,freq
6111,urban+grass,S,0.0091874346701876
6111,urban,S,0.007995452128147292
6111,urban,H,0.007225248024059709
6111,grass,W,0.005079679448387156
6111,grass,M,0.004987988483614825
6111,urban+barren,W,0.0038693587133923823
6111,urban+forest,H,0.003851020520437916
6111,urban+barren,M,0.003777667748620051
6111,urban+crop,C,0.002879096293851204
6111,forest,H,0.0024389796629440135
6111,crop,W,0.0018338192954466268
6111,urban+forest,C,0.0016871137518108966
6111,crop,M,0.001577084594084099
6111,urban+crop,S,0.0015220700152207
6111,shrub,C,0.0012469971209037062
6111,forest,S,0.00122865892794924
6111,shrub,S,0.001100291577267976
6111,urban+shrub,H,0.0010636151913590436
6111,urban+forest,S,0.001026938805450111
6111,shrub,H,0.0010086006124956446
6111,urban+shrub,C,0.0008985714547688471
6111,urban+crop,H,0.0008068804899965157
6111,forest,C,0.0007885422970420495
6111,grass,H,0.0007885422970420495
6111,barren,W,0.0006418367534063193
6111,barren,M,0.0006051603674973868
6111,urban+barren,H,0.0005868221745429206
6111,grass,C,0.0004584548238616567
6111,urban+shrub,S,0.0004401166309071904
6111,grass,S,0.00042177843795272415
6111,crop,H,0.0002934110872714603
6111,urban+barren,S,0.00014670554363573014
6111,crop,S,0.00012836735068126387
6111,urban+barren,C,0.00012836735068126387
6111,crop,C,0.0001100291577267976
6111,barren,C,7.335277181786507e-05
6109,forest,W,0.38777341559169937
6109,forest,M,0.33920358945597306
6109,urban+forest,W,0.07784632641615255
6109,urban+forest,M,0.06629276500280426
6109,forest,H,0.05597307908020191
6109,shrub,W,0.015591699383062254
6109,shrub,M,0.01245092540661806
6109,urban+forest,C,0.00987100392596747
6109,forest,S,0.009085810431856422
6109,urban+forest,H,0.007627593942793045
6109,forest,C,0.006281547952888391
6109,urban+forest,S,0.0041503084688726865
6109,shrub,H,0.002131239484015704
6109,urban+shrub,M,0.0020190689848569826
6109,urban+shrub,W,0.0016825574873808188
6109,grass,H,0.0007851934941110488
6109,grass,M,0.0007851934941110488
6109,grass,W,0.0002243409983174425
6109,shrub,C,0.00011217049915872125
6109,urban+shrub,H,0.00011217049915872125
6107,urban+crop,W,0.2248586286266375
6107,urban+crop,M,0.21323633883663437
6107,urban+grass,W,0.07413827399050894
6107,urban+grass,M,0.0711829729192123
6107,urban+forest,W,0.06535761984598334
6107,urban+forest,M,0.061919240714955526
6107,crop,W,0.033360802477906286
6107,forest,W,0.030405501406609643
6107,forest,M,0.028018527464408513
6107,crop,M,0.026910289562672274
6107,urban+crop,H,0.019720951379614104
6107,urban+crop,C,0.015969992327583758
6107,shrub,W,0.013668267454746953
6107,urban+grass,H,0.013412520246653974
6107,shrub,M,0.011934869711005654
6107,urban+shrub,W,0.009434230342985423
6107,urban+shrub,M,0.00937739763007587
6107,crop,H,0.00920689949134722
6107,urban+crop,S,0.008439657867068285
6107,shrub,H,0.007786081668608451
6107,forest,H,0.007189338183058168
6107,urban+forest,H,0.006450512915234009
6107,crop,S,0.004773947884402262
6107,urban+grass,C,0.004347702537580631
6107,urban+forest,C,0.004148788042397203
6107,urban+shrub,H,0.004063538973032878
6107,urban,W,0.00386462447784945
6107,urban,M,0.0033247137052087182
6107,crop,C,0.002301724872836805
6107,grass,W,0.0019607285953795006
6107,urban+grass,S,0.001704981387286522
6107,grass,M,0.0015913159614674207
6107,urban+forest,S,0.0015060668921030944
6107,grass,H,0.0009377397630075872
6107,forest,S,0.0004830780597311813
6107,urban+barren,M,0.0004830780597311813
6107,urban+barren,W,0.0004830780597311813
6107,forest,C,0.0004262453468216305
6107,shrub,S,0.0003694126339120798
6107,urban,C,0.0003694126339120798
6107,shrub,C,0.00022733085163820295
6107,urban,H,0.0001704981387286522
6107,urban+shrub,S,0.0001704981387286522
6107,urban,S,0.00011366542581910147
6107,urban+shrub,C,8.52490693643261e-05
6107,grass,C,5.6832712909550736e-05
6107,grass,S,5.6832712909550736e-05
6105,forest,M,0.2680577849117175
6105,forest,W,0.2637774210807919
6105,forest,H,0.14553237025147137
6105,urban+forest,W,0.12199036918138041
6105,urban+forest,M,0.10968432316746923
6105,urban+forest,C,0.03210272873194221
6105,urban+forest,H,0.02675227394328518
6105,forest,C,0.01765650080256822
6105,urban+forest,S,0.00749063670411985
6105,forest,S,0.006955591225254147
6103,urban+grass,W,0.1410413101931068
6103,forest,M,0.13431923735028112
6103,forest,W,0.13297482278171596
