fips,lc_type,clr,count,exposure
6019,urban+barren,grey,20,12114
6019,urban+barren,indigo,45,12114
6019,urban+barren,lemon,29,12114
6019,urban+barren,navy,1384,12114
6019,urban+barren,orange,1858,12114
6019,urban+barren,purple,808,12114
6019,urban+barren,red,1858,12114
6019,urban+crop,alabaster,3020,28180
6019,urban+crop,amber,3891,28180
6019,urban+crop,cocoa,5881,28180
6019,urban+crop,green,1385,28180
6019,urban+crop,grey,56,28180
6019,urban+crop,indigo,56,28180
6019,urban+crop,lemon,102,28180
6019,urban+crop,navy,2514,28180
6019,urban+crop,orange,4897,28180
6019,urban+crop,purple,1955,28180
6019,urban+crop,red,4423,28180
6019,urban+forest,alabaster,208,2510
6019,urban+forest,amber,170,2510
6019,urban+forest,cocoa,1024,2510
6019,urban+forest,green,348,2510
6019,urban+forest,grey,2,2510
6019,urban+forest,lemon,1,2510
6019,urban+forest,navy,48,2510
6019,urban+forest,orange,420,2510
6019,urban+forest,purple,118,2510
6019,urban+forest,red,171,2510
6019,urban+grass,alabaster,807,10590
6019,urban+grass,amber,924,10590
6019,urban+grass,cocoa,2841,10590
6019,urban+grass,green,720,10590
6019,urban+grass,grey,19,10590
6019,urban+grass,indigo,34,10590
6019,urban+grass,lemon,21,10590
6019,urban+grass,navy,1253,10590
6019,urban+grass,orange,1638,10590
6019,urban+grass,purple,1050,10590
6019,urban+grass,red,1283,10590
6019,urban+shrub,alabaster,252,2572
6019,urban+shrub,amber,375,2572
6019,urban+shrub,cocoa,541,2572
6019,urban+shrub,green,66,2572
6019,urban+shrub,grey,3,2572
6019,urban+shrub,indigo,3,2572
6019,urban+shrub,lemon,5,2572
6019,urban+shrub,navy,223,2572
6019,urban+shrub,orange,505,2572
6019,urban+shrub,purple,144,2572
6019,urban+shrub,red,455,2572
6021,crop,alabaster,82,243
6021,crop,bar,27,243
6021,crop,blue,3,243
6021,crop,coffee,83,243
6021,crop,green,8,243
6021,crop,lilac,3,243
6021,crop,red,8,243
6021,crop,tan,28,243
6021,crop,terracotta,1,243
6021,forest,alabaster,37,475
6021,forest,bar,1,475
6021,forest,coffee,211,475
6021,forest,green,190,475
6021,forest,lilac,4,475
6021,forest,red,13,475
6021,forest,tan,19,475
6021,grass,alabaster,9,35
6021,grass,bar,6,35
6021,grass,coffee,6,35
6021,grass,green,6,35
6021,grass,red,2,35
6021,grass,tan,6,35
6021,shrub,alabaster,42,547
6021,shrub,bar,5,547
6021,shrub,blue,5,547
6021,shrub,coffee,270,547
6021,shrub,green,98,547
6021,shrub,lilac,42,547
6021,shrub,plum,5,547
6021,shrub,red,16,547
6021,shrub,tan,55,547
6021,shrub,terracotta,5,547
6021,shrub,yellow,4,547
6021,urban+crop,alabaster,184,2214
6021,urban+crop,bar,7,2214
6021,urban+crop,blue,82,2214
6021,urban+crop,coffee,698,2214
6021,urban+crop,green,214,2214
6021,urban+crop,lilac,356,2214
6021,urban+crop,plum,21,2214
6021,urban+crop,red,264,2214
6021,urban+crop,tan,96,2214
6021,urban+crop,terracotta,168,2214
6021,urban+crop,yellow,124,2214
6021,urban+forest,alabaster,83,995
6021,urban+forest,coffee,412,995
6021,urban+forest,green,217,995
6021,urban+forest,lilac,83,995
6021,urban+forest,red,97,995
6021,urban+forest,tan,31,995
6021,urban+forest,terracotta,72,995
6021,urban+grass,alabaster,180,2177
6021,urban+grass,bar,4,2177
6021,urban+grass,blue,62,2177
6021,urban+grass,coffee,646,2177
6021,urban+grass,green,221,2177
6021,urban+grass,lilac,360,2177
6021,urban+grass,plum,15,2177
6021,urban+grass,red,293,2177
6021,urban+grass,tan,60,2177
6021,urban+grass,terracotta,254,2177
6021,urban+grass,yellow,82,2177
6021,urban+shrub,alabaster,14,184
6021,urban+shrub,coffee,69,184
6021,urban+shrub,green,21,184
6021,urban+shrub,lilac,31,184
6021,urban+shrub,plum,1,184
6021,urban+shrub,red,20,184
6021,urban+shrub,tan,8,184
6021,urban+shrub,terracotta,14,184
6021,urban+shrub,yellow,6,184
6023,forest,bar,5,12752
6023,forest,coffee,5631,12752
6023,forest,grey,1115,12752
6023,forest,lavender,679,12752
6023,forest,navy,196,12752
6023,forest,olive,4048,12752
6023,forest,orange,993,12752
6023,forest,sage,85,12752
6023,shrub,coffee,93,176
6023,shrub,crimson,5,176
6023,shrub,grey,23,176
6023,shrub,lavender,18,176
6023,shrub,navy,2,176
6023,shrub,olive,18,176
6023,shrub,orange,17,176
6023,urban,bar,1,61
6023,urban,coffee,33,61
6023,urban,crimson,3,61
6023,urban,grey,5,61
6023,urban,lavender,5,61
6023,urban,navy,1,61
6023,urban,olive,4,61
6023,urban,orange,7,61
6023,urban,plum,2,61
6023,urban+barren,bar,1,16
6023,urban+barren,coffee,10,16
6023,urban+barren,lavender,1,16
6023,urban+barren,orange,2,16
6023,urban+barren,plum,1,16
6023,urban+barren,sage,1,16
6023,urban+forest,bar,97,22891
6023,urban+forest,coffee,9701,22891
6023,urban+forest,crimson,1095,22891
6023,urban+forest,foo,31,22891
6023,urban+forest,grey,1958,22891
6023,urban+forest,lavender,2595,22891
6023,urban+forest,olive,4563,22891
6023,urban+forest,orange,2458,22891
6023,urban+forest,plum,150,22891
6023,urban+forest,sage,243,22891
6023,urban+grass,coffee,17,49
6023,urban+grass,crimson,3,49
6023,urban+grass,gold,2,49
6023,urban+grass,grey,5,49
6023,urban+grass,lavender,6,49
6023,urban+grass,navy,2,49
6023,urban+grass,olive,5,49
6023,urban+grass,orange,9,49
6023,urban+shrub,coffee,90,213
6023,urban+shrub,crimson,17,213
6023,urban+shrub,gold,1,213
6023,urban+shrub,grey,15,213
6023,urban+shrub,lavender,30,213
6023,urban+shrub,navy,1,213
6023,urban+shrub,olive,17,213
6023,urban+shrub,orange,41,213
6023,urban+shrub,plum,1,213
6025,barren,aquamarine,202,1823
6025,barren,auburn,2,1823
6025,barren,beige,29,1823
6025,barren,cocoa,792,1823
6025,barren,emerald,3,1823
6025,barren,foo,130,1823
6025,barren,gray,205,1823
6025,barren,ivory,3,1823
6025,barren,navy,3,1823
6025,barren,olive,204,1823
6025,barren,purple,211,1823
6025,barren,sienna,31,1823
6025,barren,yellow,8,1823
6025,crop,aquamarine,249,2391
6025,crop,auburn,2,2391
6025,crop,beige,31,2391
6025,crop,cocoa,680,2391
6025,crop,emerald,4,2391
6025,crop,foo,100,2391
6025,crop,gray,742,2391
6025,crop,ivory,32,2391
6025,crop,navy,4,2391
6025,crop,olive,281,2391
6025,crop,purple,180,2391
6025,crop,sienna,84,2391
6025,crop,terracotta,2,2391
6025,forest,aquamarine,4,48
6025,forest,beige,2,48
6025,forest,cocoa,17,48
6025,forest,emerald,2,48
6025,forest,foo,2,48
6025,forest,gray,4,48
6025,forest,olive,15,48
6025,forest,purple,1,48
6025,forest,sienna,1,48
6025,shrub,aquamarine,1,21
6025,shrub,cocoa,9,21
6025,shrub,foo,3,21
6025,shrub,gray,3,21
6025,shrub,olive,2,21
6025,shrub,purple,3,21
6025,urban,aquamarine,214,3166
6025,urban,auburn,20,3166
6025,urban,beige,80,3166
6025,urban,cocoa,782,3166
6025,urban,emerald,13,3166
6025,urban,foo,386,3166
6025,urban,gray,325,3166
6025,urban,ivory,15,3166
6025,urban,navy,11,3166
6025,urban,olive,272,3166
6025,urban,purple,483,3166
6025,urban,sienna,325,3166
6025,urban,terracotta,15,3166
6025,urban,yellow,225,3166
6025,urban+barren,aquamarine,146,1694
6025,urban+barren,auburn,4,1694
6025,urban+barren,beige,49,1694
6025,urban+barren,cocoa,416,1694
6025,urban+barren,emerald,4,1694
6025,urban+barren,foo,194,1694
6025,urban+barren,gray,187,1694
6025,urban+barren,ivory,4,1694
6025,urban+barren,navy,2,1694
